hour_sin,hour_cos,day_of_year_sin,day_of_year_cos,day_of_week,month,is_weekend,is_workday,season_numeric,outdoor_temp,heating_demand_lag1,heating_demand_lag24,heating_demand_rolling_3h,heating_demand_rolling_24h,building_bungalow,building_detached,building_end_terrace,building_mid_terrace,building_semi_detached,heating_demand_kwh,datetime,building_type
1.2246467991473532e-16,-1.0,0.051619667223253764,0.998666816288476,0,1,0,1,0,9.0,76.17835623392331,74.00031974997076,76.04221933653498,73.82898646113033,True,False,False,False,False,75.8477312259332,2022-01-03 12:00:00,bungalow
-0.2588190451025208,-0.9659258262890683,0.051619667223253764,0.998666816288476,0,1,0,1,0,9.0,75.8477312259332,73.30987318511059,75.79650190008537,73.91455083843404,True,False,False,False,False,75.36341824039961,2022-01-03 13:00:00,bungalow
-0.4999999999999997,-0.8660254037844388,0.051619667223253764,0.998666816288476,0,1,0,1,0,9.0,75.36341824039961,72.76842641191378,75.38497068763873,74.0051898461286,True,False,False,False,False,74.94376259658338,2022-01-03 14:00:00,bungalow
-0.7071067811865471,-0.7071067811865479,0.051619667223253764,0.998666816288476,0,1,0,1,0,9.0,74.94376259658338,72.64486472280363,75.01119554458155,74.09192072421018,True,False,False,False,False,74.72640579676168,2022-01-03 15:00:00,bungalow
-0.8660254037844385,-0.5000000000000004,0.051619667223253764,0.998666816288476,0,1,0,1,0,8.0,74.72640579676168,72.77158049305544,74.85387450530186,74.1802488337729,True,False,False,False,False,74.89145512256052,2022-01-03 16:00:00,bungalow
-0.9659258262890683,-0.25881904510252063,0.051619667223253764,0.998666816288476,0,1,0,1,0,7.0,74.89145512256052,73.44937859454011,75.0088240984464,74.2618835330011,True,False,False,False,False,75.40861137601698,2022-01-03 17:00:00,bungalow
-1.0,-1.8369701987210297e-16,0.051619667223253764,0.998666816288476,0,1,0,1,0,8.0,75.40861137601698,74.38446052780071,75.43529535796205,74.32944015998059,True,False,False,False,False,76.00581957530864,2022-01-03 18:00:00,bungalow
-0.9659258262890684,0.2588190451025203,0.051619667223253764,0.998666816288476,0,1,0,1,0,8.0,76.00581957530864,75.08410004488299,75.94940006040537,74.38567637602257,True,False,False,False,False,76.43376922989046,2022-01-03 19:00:00,bungalow
-0.8660254037844386,0.5000000000000001,0.051619667223253764,0.998666816288476,0,1,0,1,0,8.0,76.43376922989046,75.6412517209222,76.33747615299139,74.42449253989145,True,False,False,False,False,76.5728396537751,2022-01-03 20:00:00,bungalow
-0.7071067811865477,0.7071067811865474,0.051619667223253764,0.998666816288476,0,1,0,1,0,7.0,76.5728396537751,75.9677924830932,76.55426713956832,74.45317587538919,True,False,False,False,False,76.65619253503942,2022-01-03 21:00:00,bungalow
-0.5000000000000004,0.8660254037844384,0.051619667223253764,0.998666816288476,0,1,0,1,0,7.0,76.65619253503942,76.13839481199632,76.65832746505849,74.47849068348773,True,False,False,False,False,76.74595020636094,2022-01-03 22:00:00,bungalow
-0.25881904510252157,0.9659258262890681,0.051619667223253764,0.998666816288476,0,1,0,1,0,7.0,76.74595020636094,76.17184224590868,76.76577732752139,74.50863014162336,True,False,False,False,False,76.89518924116379,2022-01-03 23:00:00,bungalow
0.0,1.0,0.06880242680231986,0.9976303053065857,1,1,0,1,0,6.0,76.89518924116379,67.89165960894684,74.0230603328579,74.53097938921094,True,False,False,False,False,68.42804155104896,2022-01-04 00:00:00,bungalow
0.25881904510252074,0.9659258262890683,0.06880242680231986,0.9976303053065857,1,1,0,1,0,6.0,68.42804155104896,72.97328372517053,72.88041630642893,74.5453433226236,True,False,False,False,False,73.31801812707401,2022-01-04 01:00:00,bungalow
0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,1,1,0,1,0,6.0,73.31801812707401,73.61253905417213,71.85663799399067,74.55414812469346,True,False,False,False,False,73.82385430384906,2022-01-04 02:00:00,bungalow
0.7071067811865476,0.7071067811865476,0.06880242680231986,0.9976303053065857,1,1,0,1,0,5.8,73.82385430384906,73.71634666713288,73.67754525480387,74.56141548579161,True,False,False,False,False,73.89076333348858,2022-01-04 03:00:00,bungalow
0.8660254037844386,0.5000000000000001,0.06880242680231986,0.9976303053065857,1,1,0,1,0,5.0,73.89076333348858,73.73807456272881,73.87071975204248,74.56805994646082,True,False,False,False,False,73.89754161878977,2022-01-04 04:00:00,bungalow
