building_type,datetime,heating_demand_kwh,outdoor_temp,hour,day_of_week,month,day_of_year,is_weekend,is_workday,season_numeric,heating_demand_lag1,heating_demand_lag24,heating_demand_rolling_3h,heating_demand_rolling_24h,hour_sin,hour_cos,day_of_year_sin,day_of_year_cos
semi_detached,2022-01-12 09:00:00,69.36148744509237,1.0,9,2,1,12,0,1,0,28.755405141897082,70.18567926916067,51.19707117799627,64.05538572434348,0.7071067811865476,-0.7071067811865475,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 10:00:00,76.3891359532407,2.3,10,2,1,12,0,1,0,69.36148744509237,70.14617865116351,58.16867618007672,64.31550894526336,0.49999999999999994,-0.8660254037844387,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 11:00:00,79.58274781199508,3.8,11,2,1,12,0,1,0,76.3891359532407,70.30512823758357,75.11112373677605,64.70207642753051,0.258819045102521,-0.9659258262890682,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 12:00:00,80.67885026696813,5.5,12,2,1,12,0,1,0,79.58274781199508,70.53066109196295,78.88357801073464,65.12491764315573,1.2246467991473532e-16,-1.0,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 13:00:00,80.7834181704569,7.0,13,2,1,12,0,1,0,80.67885026696813,70.4744587660276,80.34833874980671,65.55445761834027,-0.2588190451025208,-0.9659258262890683,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 14:00:00,80.29514750245102,8.0,14,2,1,12,0,1,0,80.7834181704569,69.6546559779166,80.58580531329203,65.99781143186254,-0.4999999999999997,-0.8660254037844388,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 15:00:00,79.38566862513403,8.0,15,2,1,12,0,1,0,80.29514750245102,69.18553706577121,80.15474476601399,66.42281691350266,-0.7071067811865471,-0.7071067811865479,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 16:00:00,78.33326895491624,6.0,16,2,1,12,0,1,0,79.38566862513403,70.0014491225701,79.33802836083377,66.76997607318376,-0.8660254037844385,-0.5000000000000004,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 17:00:00,77.84577881941917,5.0,17,2,1,12,0,1,0,78.33326895491624,71.71431862380598,78.52157213315648,67.0254535813343,-0.9659258262890683,-0.25881904510252063,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 18:00:00,78.4485612350581,5.0,18,2,1,12,0,1,0,77.84577881941917,73.35192697432473,78.20920300313117,67.2378133421982,-1.0,-1.8369701987210297e-16,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 19:00:00,79.31127443365757,4.0,19,2,1,12,0,1,0,78.4485612350581,75.23179810253178,78.53520482937829,67.40779152266175,-0.9659258262890684,0.2588190451025203,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 20:00:00,80.01573521482332,3.0,20,2,1,12,0,1,0,79.31127443365757,77.7743774366488,79.25852362784634,67.50118143008571,-0.8660254037844386,0.5000000000000001,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 21:00:00,80.77993464718865,4.0,21,2,1,12,0,1,0,80.01573521482332,79.55567688592932,80.03564809855654,67.55219217013818,-0.7071067811865477,0.7071067811865474,0.2051044998686192,0.9787400799669153
